piece number,work,book,composer,4 hands,start_pdf,end_pdf,comments,time fix,henle_difficulty,URI metadata difficulty,URI score IMSLP
1,"Six Unison Melodies, no. 1","Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,4,4,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
2,"Six Unison Melodies, no. 2","Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,4,4,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
3,"Six Unison Melodies, no. 3","Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,5,5,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
4,"Six Unison Melodies, no. 4","Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,5,5,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
5,"Six Unison Melodies, no. 5","Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,6,6,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
6,"Six Unison Melodies, no. 6","Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,6,6,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
7,Dotted Notes,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,7,7,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
8,Repetition (1),"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,7,7,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
9,Syncopation (1),"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,8,8,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
10,With Alternate Hands,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,8,8,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
